Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
CNG,PG&E - Richmond Service Center,1100 S 27th St,"Exit I-580 at Marina Bay Parkway and go south, left onto Pierson Avenue and turn right onto 27th Street, and the station is on the right.",Richmond,CA,94804,,800-684-4648,E,,Public - Card key at all times,8am-4pm M-F; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,B,3000 3600,,,,,,,200-8,37.916909,-122.344036,2020-11-09,826,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,50,,,,,,,,,B,3000 3600,,,,,,,,,,,,,,
CNG,PG&E - San Rafael Service Center,1220 Andersen Dr,"Exit US-101 N at Richmond Bridge, right on Bellam Boulevard, left on Andersen. Exit US-101 S at Francisco Boulevard W, under highway, left on Andersen. Exit I-580 W at Bellam, left on Bellam, left on Andersen.",San Rafael,CA,94901,,800-684-4648,E,,Public - Card key at all times,8am-4pm M-F; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,B,3000 3600,,,,,,,200-9,37.951236,-122.499682,2020-11-09,827,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,60,,,,,,,,,B,3000 3600,,,,,,,,,,,,,,
CNG,PG&E - Cupertino Service Center,10900 N Blaney Ave,"Exit I-280 at Wolfe Rd, go north on Wolfe, left on Homestead Rd, and the station is on the left",Cupertino,CA,95014,,800-684-4648,E,,Public - Card key at all times,24 hours daily; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,Q,3000 3600,,,,,,,200-9,37.335646,-122.021398,2020-11-09,828,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,PG&E - Stockton Service Center,4040 West Ln,"Exit I-5/Highway 99 at Hammer Lane, go toward central Stockton, south on West Lane about 1.5 miles, and the station is on the left.",Stockton,CA,95204,,800-684-4648,E,,Public - Card key at all times,24 hours daily; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,B,3000 3600,,,,,,,200-9,37.990624,-121.283787,2020-11-09,832,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,120,,,,,,,,,B,3000 3600,,,,,,,,,,,,,,
CNG,PG&E - Santa Rosa Service Center,3965 Occidental Rd,"Exit Highway 101 and Highway 12, go west and exit at Stony Point Road, across intersection on Occidental Road, and the station is on the right.",Santa Rosa,CA,95401,,800-684-4648,E,,Public - Card key at all times,24 hours daily; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,B,3000 3600,,,,,,,200-8,38.428592,-122.766929,2020-11-09,834,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,65,,,,,,,,,B,3000 3600,,,,,,,,,,,,,,
CNG,PG&E - Auburn Service Center,333 Sacramento St,"Exit I-80 at Maple Avenue eastbound or Nevada Street/Placer Road westbound (Maple becomes Auburn-Folsom Rd), go past the 7-11 store on Auburn-Folsom Road, then left on Sacramento Street, and the station is on the left.",Auburn,CA,95603,,800-684-4648,E,,Public - Card key at all times,24 hours daily; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,B,3000 3600,,,,,,,200-9,38.888863,-121.074465,2020-11-09,835,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,90,,,,,,,,,B,3000 3600,,,,,,,,,,,,,,
CNG,PG&E - Davis Service Center,1415 2nd St,"Alternate address: 1415 2nd St. Exit I-80 at Richards Boulevard, go north, quick right on 1st Street, left on F Street, right on 3rd Street, right on L Street, and the station is on the left.",Davis,CA,95616,,800-684-4648,E,,Public - Card key at all times,24 hours daily; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,Q,3000 3600,,,,,,,200-8,38.545155,-121.731878,2020-11-09,836,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,240,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,PG&E - Florin-Perkins Service Center,5555 Florin-Perkins Rd,"Exit Highway 50 at Howe Avenue/Power Inn Road, south on Power Inn, left on Fruitridge Road, enter the facility on Fruitridge Road on the left past Florin-Perkins Rd intersection; enter through gate #4.",Sacramento,CA,95826,,800-684-4648,E,,Public - Card key at all times,24 hours daily; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,Q,3000 3600,,,,,,,GPS,38.52681700136836,-121.39041881135749,2020-11-09,842,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,200,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,Chula Vista Education Center,84 E J St,,Chula Vista,CA,91910,,619-656-5600,E,,Public - Credit card at all times,5:30am-5pm M-F; located behind gate,A D M V,,B,3000,,,,,,,200-9,32.631042,-117.057953,2020-08-05,939,2020-08-05 19:05:18 UTC,P,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SCHOOL,1,,50,,,,,,,,,B,3000,,,,,,,,,,,,,,
CNG,San Diego Gas and Electric - Carlsbad,602 Cannon Rd,"Exit I-5 at Cannon Rd, west on Cannon, and the station is on the right at the corner of Cannon and Carlsbad",Carlsbad,CA,92008,,213-244-5681,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,GPS,33.13411446156775,-117.3323436878052,2019-04-08,942,2020-02-17 17:55:20 UTC,T,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,700,35165,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,Poway Unified School District,13626 Twin Peaks Rd,"Exit I-15 at Ted Williams Parkway, east 1 mile, turn right on Twin Peaks Road, 1 mile to school district center, station on left, west of Tiera Bonita Road.",Poway,CA,92064,,858-748-0010,E,,Public - Credit card at all times,6am-6pm M-F (except holidays or district recesses); semi-trucks and trailers do not fit at this station,M V,,B,3000 3600,,,,,,,200-8,32.978339,-117.034924,2020-07-13,945,2020-07-13 20:30:49 UTC,LG,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SCHOOL,2,,50,30000,,,,,,,,B,3000 3600,,,,,,,,,,,,,,
CNG,San Diego Gas and Electric Service Center - Miramar Yard,6875 Consolidated Way,"Exit I-5 or I-805 at La Jolla Village Dr/Miramar Rd (La Jolla Village becomes Miramar east of I-805), east on Miramar, right on Commerce Ave, left on Consolidated Way, and the station is on the right",San Diego,CA,92121,,213-244-5681,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,32.876295,-117.166362,2019-04-08,951,2020-02-17 17:55:20 UTC,T,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,2,,1000,40493,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,San Diego Gas and Electric Service Center - San Diego,5488 Overland Ave,"Exit I-15 at Claremont Mesa Blvd, west on Claremont Mesa, right on Overland Ave, station on left",San Diego,CA,92123,,213-244-5681,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,32.833537,-117.132811,2019-04-08,952,2020-02-17 17:55:20 UTC,T,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,100,26640,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,Clean Energy - Waste Management - Moreno Valley,17700 Indian Ave,,Moreno Valley,CA,92551,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M Proprietor V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,33.862772,-117.234706,2020-09-03,982,2020-09-29 20:22:50 UTC,P,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,Clean Energy - Santa Monica SoCal Gas,1701 Stewart St,"Exit I-10 at Centinella Blvd, left/north on Centinella, left/west on Olympic Blvd, right/north on Stewart St, and station is on the right",Santa Monica,CA,90404,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,34.030601,-118.465876,2019-05-09,995,2020-12-14 23:51:45 UTC,P,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,150,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,Clean Energy - Los Angeles County Sanitation District,2800 Workman Mill Rd,LCNG station,Whittier,CA,90601,,562-908-4288  562-493-2804,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,34.025657,-118.031019,2020-07-13,997,2020-07-13 20:30:49 UTC,LG,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,2,,,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,SoCalGas - Pico Rivera Base,8101 S Rosemead Blvd,"Exit I-5 at Rosemead Blvd, go north, the facility is on the left",Pico Rivera,CA,90660,,213-244-5681,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,33.968221,-118.109093,2020-08-05,1000,2020-08-05 19:05:18 UTC,T,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,2,,1050,87647,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,SoCalGas - San Pedro Base,755 W Capitol Dr,"At southern end of I-110, right/north on Gaffey St to Capitol Dr, and the station is on the left",Los Angeles,CA,90731,,213-244-5681,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,33.758315,-118.293979,2020-08-05,1002,2020-08-05 19:05:18 UTC,T,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,1000,43823,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,SoCalGas - Van Nuys Base,16645 Saticoy St,"Exit I-405 at Sherman Way, west on Sherman to Havenhurst Ave, north on Havenhurst, left on Saticoy Ave, and the station is on the right",Los Angeles,CA,91406,,213-244-5681,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,34.209219,-118.496403,2020-08-05,1006,2020-08-05 19:05:18 UTC,T,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,650,63937,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,City of Covina - City Corporate Yard,534 N Barranca Ave,"Exit I-10 at Barranca Ave and go north, station is just past San Bernardino Rd on the right",Covina,CA,91723,,626-384-5480,E,,Public - Credit card at all times,6am-4:30pm M-Th,A D M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,34.091688,-117.87986,2020-07-13,1009,2020-07-13 20:30:49 UTC,LG,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,4,,100,3200,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,SunLine Transit Agency,32-505 Harry Oliver Trail,"Exit I-10 at Ramon Road, go east on Ramon, east on Warner, north on Harry Oliver Trail, station on left.",Thousand Palms,CA,92276,,760-343-3456,E,,Public - Credit card at all times,24 hours daily,M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,33.812361,-116.395444,2020-07-13,1014,2020-07-13 20:30:49 UTC,P,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,1300,107600,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,SoCalGas - Riverside Base,3077 Cottage St,"Exit Highway 91 at 14th St and go east, turn right/south on Howard, right on Cottage St, and the station is on the left",Riverside,CA,92507,,213-244-5681,E,,Public - Card key at all times,24 hours daily; contact station for fueling card to open gate,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-8,33.971694,-117.371722,2020-08-05,1016,2020-08-05 19:05:18 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,2,,650,87647,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,SoCalGas - Garden Grove Base,12698 Industry St,"Exit Highway 22 at Knott St/Golden West St, north on Knott, right/east on Lampson Ave, right/south on Industry St, the station is at end of street on the left, access on Industry St",Garden Grove,CA,92841,,213-244-5681,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-8,33.778966,-118.007908,2020-08-05,1017,2020-08-05 19:05:18 UTC,T,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,650,87647,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,Clean Energy - Irvine City Yard,6427 Oak Canyon,"Exit I-5 at Sand Canyon Rd south on Sand Canyon, right on Oak Canyon, and station is in the City yard facility on the right.",Irvine,CA,92618,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M Proprietor V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,33.676026,-117.764558,2019-05-09,1022,2020-12-21 23:46:17 UTC,P,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,1,,350,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,SoCalGas - Oxnard Base,1650 Patton Ct,"Exit Highway 101 at Rose Ave, south approximately 2 miles, right on Patton Ct, and the station is on the right",Oxnard,CA,93030,,213-244-5681,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-8,34.191405,-119.161215,2020-08-05,1025,2020-08-05 19:05:18 UTC,T,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,650,63937,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,Revolution CNG - JB Dewar Inc,75 Prado Rd,"Exit Highway 101 N at Prado Road, and the station is on the right. Exit Highway 101 S at Madonna Road, right on Madonna, right on Higuera St, right on Prado, and station is on the left",San Luis Obispo,CA,93401,,805-238-0624,E,,Public - Credit card at all times,24 hours daily,A D Debit FuelMan M Proprietor V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,35.254197,-120.670939,2020-05-06,1029,2020-05-06 17:56:57 UTC,P,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,170,,,,,,,,,Q,3600,,,,,,,,,,,,,,
CNG,Clean Energy - Los Angeles International Airport,10400 Aviation Blvd,"Exit I-405 at Century Blvd, west toward LAX, left on Aviation Blvd, station at corner of 104th St on left",Los Angeles,CA,90045,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,33.941383,-118.377866,2019-05-09,1251,2020-12-21 23:46:17 UTC,P,,,,,,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,AIRPORT,5,,1200,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,PG&E - Chico Service Center,11239 Midway,"Exit Hwy 99 at Park Ave., then go west to Midway and turn south (left). Station on right.",Chico,CA,95928,,800-684-4648,E,,Public - Card key at all times,24 hours daily; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,Q,3000 3600,,,,,,,200-9,39.710548,-121.812671,2020-11-09,1347,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
CNG,PG&E - Vacaville Service Center,158 Peabody Rd,"Exit I-80 at Peabody E or Mason Road/Travis AFB W. From I-80 W, right on Mason and bear right, right on Peabody, and the station is on the right.",Vacaville,CA,95687,,800-684-4648,E,,Public - Card key at all times,24 hours daily; Customers must set up a PG&E account in advance of fueling; Station only accepts PG&E payment card; Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information,Proprietor,,Q,3000 3600,,,,,,,200-9,38.3509,-121.977342,2020-11-09,1349,2020-11-12 18:53:31 UTC,T,,,,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,160,,,,,,,,,Q,3000 3600,,,,,,,,,,,,,,
